target_rpm,pi_steady_state_error_rpm,open_loop_interpolated_error_rpm,improvement_percent,pi_rms_period_us,pi_p95_abs_jitter_us,pi_p99_abs_jitter_us,pi_cv_period,open_rms_period_us,open_p95_abs_jitter_us,open_p99_abs_jitter_us,open_cv_period
0.0,nan,nan,nan,5.992933507366687,13.620067543859385,17.55835927318186,0.0005992932837479959,1.8681810085334827,4.213844736842474,8.077039624061252,0.00018681811672586498
100.0,6.719788404999999,33.34578021649999,79.84815961308668,5.037500300718985,11.10269749999879,15.306101450000428,0.0005037498312166526,1.7169789364871053,3.6629240421052223,7.816683774436678,0.00017169792564408052
200.0,7.903933965,66.69156043299998,88.14852447043808,4.193515969183651,9.869171250000724,13.796311250000196,0.0004193515307132422,1.5657768644407282,3.1120033473679705,7.556327924812103,0.00015657773456229606
300.0,7.2971003450000005,88.11176650033417,91.7183588130964,4.054879893638787,9.712520624999339,13.457643749999988,0.0004054878938207937,1.5617825766829694,3.131579130913267,7.533244730913596,0.00015617830232981213
400.0,5.246173299999999,97.60639841850252,94.6251747989858,4.405359808743614,10.315829750000102,13.113757950000434,0.0004405361120439888,1.704996073213829,3.7216513927411112,7.7474341927411565,0.0001704996289466287
500.0,4.426455225,107.10103033667087,95.86702834595943,4.6235690030531424,10.00859025000063,15.327663949999845,0.00046235688539430467,1.8482095697446885,4.311723654568956,7.961623654568717,0.00018482095556344527
600.0,4.588360589999998,113.7370860950025,95.96581840845877,3.8210187288993955,9.556620000000201,12.576444400000506,0.00038210196000918644,1.9078577325192065,4.125746642741357,8.375525082740834,0.00019078575481881995
700.0,4.500407505000004,120.373141853334,96.26128600142097,4.311673812453821,10.185809999999945,15.297649999999775,0.00043116751490731176,1.9675058952937248,3.939769630913758,8.789426510912952,0.0001967505540741946
800.0,5.804432090000001,122.0159825687499,95.24289198201596,4.102128046166794,9.356033125000156,12.670891250000693,0.0004102128258964697,1.910074717513473,3.7218638999997498,8.743035559999313,0.00019100743128640306
900.0,6.069644805000005,118.66560824124997,94.88508516076513,5.864161053967993,13.969107499999698,20.745894999999706,0.0005864160658137149,1.7355641991784512,3.4720294499993316,8.236352229999918,0.0001735563864554453
1000.0,6.158730540000001,115.31523391375003,94.65922208976619,5.3911322197104115,12.152109999999894,20.45926279999863,0.0005391130526895425,1.5610536808434294,3.2221949999989135,7.729668900000523,0.00015610534162448757
