Time_s,Raw_RPM,Revolutions
9.3e-08,-0,43
0.0100219,843.75,43
0.0200235,906.25,43
0.0300194,875,43
0.0400148,875,43
0.0500146,781.25,43
0.0600121,875,43
0.0700186,937.5,44
0.0800184,812.5,44
0.0900151,937.5,44
0.100015,812.5,44
0.110018,875,44
0.120017,875,44
0.130016,875,44
0.140015,875,45
0.150019,937.5,45
0.160017,812.5,45
0.170018,906.25,45
0.180024,843.75,45
0.190011,812.5,45
0.200013,906.25,45
0.210008,875,46
0.220008,906.25,46
0.230014,812.5,46
0.240013,875,46
0.250012,906.25,46
0.260011,875,46
0.270012,812.5,46
0.280011,906.25,47
0.290012,875,47
0.300011,906.25,47
0.310012,781.25,47
0.320011,906.25,47
0.330012,875,47
0.340009,906.25,47
0.350014,812.5,48
0.360011,875,48
0.370012,906.25,48
0.380011,875,48
0.390008,812.5,48
0.400013,875,48
0.410013,906.25,48
0.420011,906.25,49
0.430013,812.5,49
0.440011,875,49
0.450012,906.25,49
0.460011,875,49
0.470012,781.25,49
0.480011,906.25,49
0.490012,906.25,50
0.500011,875,50
0.510012,812.5,50
0.52001,906.25,50
0.530013,875,50
0.540011,906.25,50
0.550013,781.25,50
0.560011,906.25,51
0.570012,906.25,51
0.58002,875,51
0.590016,843.75,51
0.600015,875,51
0.610014,875,51
0.620012,812.5,52
0.630012,906.25,52
0.640011,906.25,52
0.650012,875,52
0.660011,812.5,52
0.670012,875,52
0.680014,875,52
0.690013,906.25,53
0.700011,906.25,53
0.710012,812.5,53
0.720014,875,53
0.730012,906.25,53
0.740011,875,53
0.750012,812.5,53
0.760018,906.25,54
0.770016,906.25,54
0.780012,812.5,54
0.790012,875,54
0.800013,875,54
0.810013,906.25,54
0.820011,781.25,54
0.830012,906.25,55
0.840011,906.25,55
0.850012,906.25,55
0.860011,781.25,55
0.870012,906.25,55
0.880011,875,55
0.890012,906.25,55
0.900012,781.25,56
0.910014,937.5,56
0.920012,875,56
0.930012,812.5,56
0.940011,875,56
0.950009,906.25,56
0.960011,875,56
0.970012,812.5,57
0.980011,906.25,57
0.990012,906.25,57
1.00015,875,57
1.01002,812.5,57
1.02002,1031.25,57
1.03001,1031.25,58
1.04001,968.75,58
1.05001,1093.75,58
1.06001,1125,58
1.07002,1031.25,58
1.08001,1156.25,58
1.09001,1125,59
1.10002,1062.5,59
1.11001,1187.5,59
1.12001,1125,59
1.13001,1156.25,59
1.14001,1031.25,60
1.15001,1156.25,60
1.16001,1187.5,60
1.17001,1156.25,60
1.18006,1031.25,60
1.19002,1156.25,60
1.20001,1156.25,61
1.21001,1125,61
1.22001,1125,61
1.23001,1156.25,61
1.24001,1125,61
1.25001,1125,62
1.26001,1125,62
1.27001,1156.25,62
1.28001,1093.75,62
