Time_s,Raw_RPM,Revolutions
7.4e-08,-0,17
0.0100273,343.75,17
0.0200309,312.5,17
0.0300271,375,17
0.0400497,281.25,17
0.0500374,375,17
0.0600342,343.75,17
0.0700454,343.75,17
0.0800442,343.75,17
0.0900271,375,17
0.100021,375,18
0.110023,312.5,18
0.120021,375,18
0.13002,343.75,18
0.140022,343.75,18
0.150025,343.75,18
0.160024,343.75,18
0.170024,343.75,18
0.180021,343.75,18
0.190023,312.5,18
0.200024,343.75,18
0.210022,343.75,18
0.220023,343.75,18
0.230025,343.75,18
0.240021,343.75,18
0.250021,375,18
0.260021,343.75,18
0.270022,343.75,18
0.280018,375,19
0.290021,343.75,19
0.300021,343.75,19
0.310021,375,19
0.320018,343.75,19
0.330021,343.75,19
0.340023,312.5,19
0.350018,375,19
0.36001,312.5,19
0.370009,343.75,19
0.380008,343.75,19
0.390007,343.75,19
0.400009,343.75,19
0.410008,343.75,19
0.420008,343.75,19
0.43001,375,19
0.440014,343.75,19
0.450009,375,20
0.460007,343.75,20
0.470008,343.75,20
0.480007,375,20
0.490007,343.75,20
0.500007,343.75,20
0.510008,343.75,20
0.520007,312.5,20
0.530008,343.75,20
0.540009,343.75,20
0.550008,343.75,20
0.560007,312.5,20
0.570007,343.75,20
0.580006,343.75,20
0.590008,375,20
0.600007,343.75,20
0.610007,343.75,20
0.620014,375,21
0.630009,343.75,21
0.640007,375,21
0.650007,343.75,21
0.660007,343.75,21
0.670008,343.75,21
0.680007,375,21
0.690007,312.5,21
0.700007,343.75,21
0.710008,343.75,21
0.720007,312.5,21
0.730007,312.5,21
0.740007,343.75,21
0.750008,343.75,21
0.760007,343.75,21
0.770007,375,21
0.780007,343.75,21
0.790007,343.75,21
0.800007,375,22
0.810007,343.75,22
0.820007,375,22
0.830007,343.75,22
0.840007,343.75,22
0.850007,343.75,22
0.860007,343.75,22
0.870007,343.75,22
0.880007,312.5,22
0.890007,343.75,22
0.900007,343.75,22
0.910007,343.75,22
0.920007,343.75,22
0.930007,343.75,22
0.940007,343.75,22
0.950007,375,22
0.960007,343.75,22
0.970007,375,23
0.980008,343.75,23
0.990007,343.75,23
1.00014,375,23
1.01001,375,23
1.02001,437.5,23
1.03001,500,23
1.04001,468.75,23
1.05001,531.25,23
1.06001,562.5,23
1.07001,562.5,23
1.08001,593.75,23
1.09002,625,23
1.10003,593.75,24
1.11002,656.25,24
1.12001,625,24
1.13001,593.75,24
1.14001,593.75,24
1.15001,593.75,24
1.16002,562.5,24
1.17001,593.75,24
1.18001,625,24
1.19001,593.75,24
1.20001,625,25
1.21001,625,25
1.22001,593.75,25
1.23001,593.75,25
1.24001,625,25
1.25001,593.75,25
1.26001,593.75,25
