Time_s,Raw_RPM,Revolutions
2.44001,2093.75,168
2.45001,2125,169
2.46001,1906.25,169
2.47001,2093.75,169
2.48001,2125,170
2.49001,2093.75,170
2.50001,1906.25,170
2.51001,2125,171
2.52001,2093.75,171
2.53001,2125,171
2.54001,1906.25,172
2.55001,2093.75,172
2.56001,2125,172
2.57001,2093.75,173
2.58001,1906.25,173
2.59001,2125,173
2.60001,2093.75,174
2.61001,2125,174
2.62001,1906.25,174
2.63001,2093.75,175
2.64001,2125,175
2.65001,2093.75,175
2.66001,1906.25,176
2.67001,2093.75,176
2.68001,2125,176
2.69001,2125,177
2.70001,1906.25,177
2.71001,2093.75,177
2.72001,2156.25,178
2.73001,2093.75,178
2.74001,1875,178
2.75001,2125,179
2.76002,2156.25,179
2.77001,1906.25,180
2.78001,2125,180
2.79001,2093.75,180
2.80001,2125,181
2.81001,1906.25,181
2.82001,2093.75,181
2.83001,2156.25,182
2.84001,1906.25,182
2.85001,2093.75,182
2.86001,2125,183
2.87001,2062.5,183
2.88001,2125,183
2.89001,1906.25,184
2.90001,2093.75,184
2.91001,2125,184
2.92001,2093.75,185
2.93001,1906.25,185
2.94001,2125,185
2.95001,2093.75,186
2.96001,2125,186
2.97001,1906.25,186
2.98001,2093.75,187
2.99001,2125,187
3.00001,2093.75,187
3.01001,1906.25,188
3.02001,2125,188
3.03001,2093.75,188
3.04001,2125,189
3.05001,1906.25,189
3.06001,2093.75,189
3.07001,2125,190
3.08001,2093.75,190
3.09001,1875,190
3.10001,2156.25,191
3.11001,2093.75,191
3.12001,2125,192
3.13001,1875,192
3.14001,2093.75,192
3.15001,2156.25,193
3.16001,2093.75,193
3.17001,1875,193
3.18001,2125,194
3.19001,2125,194
3.20001,2125,194
3.21001,1875,195
3.22001,2093.75,195
3.23001,2156.25,195
3.24001,2093.75,196
3.25001,1875,196
3.26001,2125,196
3.27001,2093.75,197
3.28001,2125,197
3.29001,1906.25,197
3.30001,2125,198
3.31001,2093.75,198
3.32001,2125,198
3.33001,1906.25,199
3.34002,2000,199
3.35002,2062.5,199
3.36002,2062.5,200
3.37002,2062.5,200
3.38002,2062.5,200
3.39002,2062.5,201
3.40002,2062.5,201
3.41002,2062.5,201
3.42002,2062.5,202
3.43003,2062.5,202
3.44002,2250,203
3.45002,2031.25,203
3.46002,2031.25,203
3.47001,2031.25,204
3.48002,2031.25,204
3.49002,2031.25,204
3.50002,2031.25,205
3.51002,2250,205
3.52002,2031.25,205
3.53002,2031.25,206
3.54002,2031.25,206
3.55001,2031.25,206
3.56002,2031.25,207
3.57002,2000,207
3.58002,2250,207
3.59002,2031.25,208
3.60002,2000,208
3.61002,2031.25,208
3.62002,2031.25,209
3.63002,2031.25,209
3.64002,2218.75,209
3.65002,2031.25,210
3.66001,2031.25,210
3.67002,2031.25,210
3.68003,2031.25,211
3.69002,2062.5,211
3.70002,2031.25,211
3.71002,2031.25,212
3.72002,2250,212
3.73002,2031.25,212
3.74002,2031.25,213
3.75002,2031.25,213
3.76003,2062.5,213
3.77003,2062.5,214
3.78002,2031.25,214
3.79002,2031.25,215
3.80002,2031.25,215
3.81002,2031.25,215
3.82002,2218.75,216
3.83002,2062.5,216
3.84002,2000,216
3.85002,2031.25,217
3.86002,2031.25,217
3.87002,2000,217
3.88002,2250,218
3.89005,2031.25,218
3.90004,1968.75,218
3.91003,2000,219
3.92003,2156.25,219
3.93002,2062.5,219
3.94003,1906.25,220
3.95004,2218.75,220
3.96004,1968.75,220
3.97004,2031.25,221
3.98001,2093.75,221
3.99001,2125,221
