elapsed_s,step_index,pwm_percent,loop_period_us,late_us,raw_rpm,filtered_rpm,target_rpm,pwm,error_rpm
0.010040,0,0,10039.815000,39.815000,0.000000,0.000000,0.000000,0,0.000000
0.020040,0,0,9999.915000,39.730000,0.000000,0.000000,0.000000,0,0.000000
0.030023,0,0,9983.761000,23.491000,0.000000,0.000000,0.000000,0,0.000000
0.040015,0,0,9991.431000,14.922000,0.000000,0.000000,0.000000,0,0.000000
0.050017,0,0,10002.267000,17.189000,0.000000,0.000000,0.000000,0,0.000000
0.060013,0,0,9995.820000,13.009000,0.000000,0.000000,0.000000,0,0.000000
0.070013,0,0,9999.581000,12.590000,0.000000,0.000000,0.000000,0,0.000000
0.080024,0,0,10010.955000,23.545000,0.000000,0.000000,0.000000,0,0.000000
0.090014,0,0,9990.764000,14.309000,0.000000,0.000000,0.000000,0,0.000000
0.100014,0,0,9999.692000,14.001000,0.000000,0.000000,0.000000,0,0.000000
0.110010,0,0,9996.339000,10.340000,0.000000,0.000000,0.000000,0,0.000000
0.120011,0,0,10000.656000,10.996000,0.000000,0.000000,0.000000,0,0.000000
0.130023,0,0,10012.048000,23.044000,0.000000,0.000000,0.000000,0,0.000000
0.140021,0,0,9997.932000,20.976000,0.000000,0.000000,0.000000,0,0.000000
0.150037,0,0,10015.697000,36.673000,0.000000,0.000000,0.000000,0,0.000000
0.160018,0,0,9981.631000,18.304000,0.000000,0.000000,0.000000,0,0.000000
0.170020,0,0,10001.230000,19.534000,0.000000,0.000000,0.000000,0,0.000000
0.180036,0,0,10016.160000,35.694000,0.000000,0.000000,0.000000,0,0.000000
0.190038,0,0,10002.804000,38.498000,0.000000,0.000000,0.000000,0,0.000000
0.200018,0,0,9980.001000,18.499000,0.000000,0.000000,0.000000,0,0.000000
0.210020,0,0,10001.230000,19.729000,0.000000,0.000000,0.000000,0,0.000000
0.220021,0,0,10001.470000,21.199000,0.000000,0.000000,0.000000,0,0.000000
0.230018,0,0,9996.895000,18.094000,0.000000,0.000000,0.000000,0,0.000000
0.240020,0,0,10001.841000,19.935000,0.000000,0.000000,0.000000,0,0.000000
0.250032,0,0,10012.437000,32.372000,0.000000,0.000000,0.000000,0,0.000000
0.260020,0,0,9987.948000,20.320000,0.000000,0.000000,0.000000,0,0.000000
0.270022,0,0,10001.359000,21.679000,0.000000,0.000000,0.000000,0,0.000000
0.280032,0,0,10010.548000,32.227000,0.000000,0.000000,0.000000,0,0.000000
0.290035,0,0,10002.989000,35.216000,0.000000,0.000000,0.000000,0,0.000000
0.300020,0,0,9984.429000,19.645000,0.000000,0.000000,0.000000,0,0.000000
0.310036,0,0,10016.734000,36.379000,0.000000,0.000000,0.000000,0,0.000000
0.320018,0,0,9982.002000,18.381000,0.000000,0.000000,0.000000,0,0.000000
0.330019,0,0,10000.785000,19.166000,0.000000,0.000000,0.000000,0,0.000000
0.340017,0,0,9997.858000,17.024000,0.000000,0.000000,0.000000,0,0.000000
0.350023,0,0,10005.546000,22.570000,0.000000,0.000000,0.000000,0,0.000000
0.360020,0,0,9997.617000,20.187000,0.000000,0.000000,0.000000,0,0.000000
0.370020,0,0,9999.452000,19.639000,0.000000,0.000000,0.000000,0,0.000000
0.380020,0,0,10000.377000,20.016000,0.000000,0.000000,0.000000,0,0.000000
0.390020,0,0,9999.489000,19.505000,0.000000,0.000000,0.000000,0,0.000000
0.400020,0,0,10000.285000,19.790000,0.000000,0.000000,0.000000,0,0.000000
0.410019,0,0,9999.618000,19.408000,0.000000,0.000000,0.000000,0,0.000000
0.420020,0,0,10000.562000,19.970000,0.000000,0.000000,0.000000,0,0.000000
0.430059,0,0,10038.778000,58.748000,0.000000,0.000000,0.000000,0,0.000000
0.440029,0,0,9970.647000,29.395000,0.000000,0.000000,0.000000,0,0.000000
0.450020,0,0,9990.504000,19.899000,0.000000,0.000000,0.000000,0,0.000000
0.460021,0,0,10001.082000,20.981000,0.000000,0.000000,0.000000,0,0.000000
0.470019,0,0,9998.506000,19.487000,0.000000,0.000000,0.000000,0,0.000000
0.480022,0,0,10002.471000,21.958000,0.000000,0.000000,0.000000,0,0.000000
0.490020,0,0,9998.303000,20.261000,0.000000,0.000000,0.000000,0,0.000000
0.500020,0,0,9999.599000,19.860000,0.000000,0.000000,0.000000,0,0.000000
0.510018,0,0,9998.118000,17.978000,0.000000,0.000000,0.000000,0,0.000000
0.520021,0,0,10002.786000,20.764000,0.000000,0.000000,0.000000,0,0.000000
0.530019,0,0,9998.321000,19.085000,0.000000,0.000000,0.000000,0,0.000000
0.540020,0,0,10000.748000,19.833000,0.000000,0.000000,0.000000,0,0.000000
0.550020,0,0,9999.729000,19.562000,0.000000,0.000000,0.000000,0,0.000000
0.560021,0,0,10001.397000,20.959000,0.000000,0.000000,0.000000,0,0.000000
0.570019,0,0,9998.395000,19.354000,0.000000,0.000000,0.000000,0,0.000000
0.580018,0,0,9998.266000,17.620000,0.000000,0.000000,0.000000,0,0.000000
0.590019,0,0,10001.100000,18.720000,0.000000,0.000000,0.000000,0,0.000000
0.600026,0,0,10006.991000,25.711000,0.000000,0.000000,0.000000,0,0.000000
0.610022,0,0,9995.839000,21.550000,0.000000,0.000000,0.000000,0,0.000000
0.620026,0,0,10004.546000,26.096000,0.000000,0.000000,0.000000,0,0.000000
0.630023,0,0,9996.969000,23.065000,0.000000,0.000000,0.000000,0,0.000000
0.640022,0,0,9998.914000,21.979000,0.000000,0.000000,0.000000,0,0.000000
0.650035,0,0,10013.418000,35.397000,0.000000,0.000000,0.000000,0,0.000000
0.660020,0,0,9984.614000,20.011000,0.000000,0.000000,0.000000,0,0.000000
0.670020,0,0,10000.415000,20.426000,0.000000,0.000000,0.000000,0,0.000000
0.680034,0,0,10013.585000,34.011000,0.000000,0.000000,0.000000,0,0.000000
0.690027,0,0,9993.116000,27.127000,0.000000,0.000000,0.000000,0,0.000000
0.700020,0,0,9993.246000,20.373000,0.000000,0.000000,0.000000,0,0.000000
0.710018,0,0,9997.951000,18.324000,0.000000,0.000000,0.000000,0,0.000000
0.720019,0,0,10000.396000,18.720000,0.000000,0.000000,0.000000,0,0.000000
0.730029,0,0,10010.714000,29.434000,0.000000,0.000000,0.000000,0,0.000000
0.740020,0,0,9990.819000,20.253000,0.000000,0.000000,0.000000,0,0.000000
0.750019,0,0,9999.007000,19.260000,0.000000,0.000000,0.000000,0,0.000000
0.760023,0,0,10004.045000,23.305000,0.000000,0.000000,0.000000,0,0.000000
0.770024,0,0,10000.711000,24.016000,0.000000,0.000000,0.000000,0,0.000000
