target_rpm,pi_steady_state_error_rpm,open_loop_interpolated_error_rpm,improvement_percent,pi_rms_period_us,pi_p95_abs_jitter_us,pi_p99_abs_jitter_us,pi_cv_period,open_rms_period_us,open_p95_abs_jitter_us,open_p99_abs_jitter_us,open_cv_period
0.0,nan,nan,nan,11.435193980832338,18.97022719298129,44.23248062656749,0.001143524719198948,7.614118712809703,15.131619172932453,26.524680977444064,0.0007614125056005615
250.0,2.6963103250000007,19.790392097500018,86.37565990751338,3.683919699577466,6.767397997496825,15.61182240300273,0.0003683917490149104,7.704632641138699,16.993715999999193,32.85361000000091,0.0007704658652066309
500.0,3.7700190300000007,5.332800113749954,29.305075202809856,7.163226380266343,13.444857499999385,32.20360265000136,0.0007163240712120197,14.035982433458047,29.661798749999225,50.43209025000105,0.0014035978766558594
750.0,5.340273219999999,0.7703969662500185,-593.1846118234726,5.766016758949428,11.26095375000059,23.417354325000478,0.000576601612684991,14.36853358365419,27.39948199999889,61.23360959999988,0.0014368563010471235
1000.0,12.645357005000001,14.65134165500001,13.691474113672273,5.601718273209833,9.947445807259793,24.687947259074754,0.0005601686235630871,7.328686475658411,15.506541125001599,25.168401250000983,0.000732867189251743
1250.0,23.36866580000001,26.545685326658486,11.968120195668698,2.935932215634856,6.413129912391193,10.34430760951084,0.0002935930479798112,7.3691504160192025,16.055769962454903,26.27856996245482,0.0007369147446225114
1500.0,23.985094464999996,37.109818077596856,35.367253984250155,3.778484980076913,8.73569699624603,15.502616245307708,0.0003778484222961364,6.315624885869422,12.348609887358164,26.362426508135567,0.0006315622934270795
1750.0,27.064842175000003,46.16037325000002,41.36780041092932,3.1122777966617714,6.961396250000959,12.616790749999344,0.00031122780573150584,6.390798414345292,11.984752875000048,23.599328750000584,0.0006390819466503467
2000.0,16.921656600000002,53.11817640425534,68.14337813252867,9.506398831943404,18.975474499999837,39.79060890000013,0.00095064018692388,12.28474846663758,23.147907509385547,43.05215279098914,0.0012284743561965243
2250.0,24.77211185000001,67.19235790738412,63.13254569195931,3.7184313202738735,8.508253749998847,16.37731250000024,0.00037184313806983834,7.193746187099189,15.086940425531232,29.95033446808544,0.0007193701892262431
2500.0,31.961755874999994,8.527152663329161,-274.8233101589801,4.681372819648042,10.270370713391614,17.196630713390835,0.000468137215054579,8.039555289973416,18.45207847309175,29.305834167710742,0.0008039557278229384
