SessionID,Iteration,TargetLevel_mm,ToFAvg_mm,DistFromZero_mm,CalculatedFluid_mm,PhysicalIndex,PhysicalMeasure_mm
20260922_172129,2,50,354.86,45.14,58.14,2,56.00
20260922_172129,2,50,354.86,45.14,58.14,3,56.00
20260922_172129,2,50,354.86,45.14,58.14,4,56.00
20260922_172129,2,50,354.86,45.14,58.14,5,56.00
20260922_172129,3,50,358.71,41.29,54.29,1,52.00
20260922_172129,3,50,358.71,41.29,54.29,2,52.00
20260922_172129,3,50,358.71,41.29,54.29,3,52.00
20260922_172129,3,50,358.71,41.29,54.29,4,52.00
20260922_172129,3,50,358.71,41.29,54.29,5,52.00
20260922_172129,4,50,358.35,41.65,54.65,1,54.00
20260922_172129,4,50,358.35,41.65,54.65,2,54.00
20260922_172129,4,50,358.35,41.65,54.65,3,54.00
20260922_172129,4,50,358.35,41.65,54.65,4,54.00
20260922_172129,4,50,358.35,41.65,54.65,5,54.00
20260922_172129,5,50,357.13,42.87,55.87,1,55.00
20260922_172129,5,50,357.13,42.87,55.87,2,55.00
20260922_172129,5,50,357.13,42.87,55.87,3,55.00
20260922_172129,5,50,357.13,42.87,55.87,4,55.00
20260922_172129,5,50,357.13,42.87,55.87,5,55.00
20260922_191215,1,100,306.13,93.87,108.87,1,101.00
20260922_191215,1,100,306.13,93.87,108.87,2,102.00
20260922_191215,1,100,306.13,93.87,108.87,3,102.00
20260922_191215,1,100,306.13,93.87,108.87,4,102.00
20260922_191215,1,100,306.13,93.87,108.87,5,102.00
20260922_191215,2,100,311.97,88.03,103.03,1,98.00
20260922_191215,2,100,311.97,88.03,103.03,2,98.00
20260922_191215,2,100,311.97,88.03,103.03,3,98.00
20260922_191215,2,100,311.97,88.03,103.03,4,98.00
20260922_191215,2,100,311.97,88.03,103.03,5,98.00
20260922_191215,3,100,310.92,89.08,104.08,1,99.00
20260922_191215,3,100,310.92,89.08,104.08,2,99.00
20260922_191215,3,100,310.92,89.08,104.08,3,99.00
20260922_191215,3,100,310.92,89.08,104.08,4,99.00
20260922_191215,3,100,310.92,89.08,104.08,5,9.00
20260922_191215,4,100,309.75,90.25,105.25,1,100.00
20260922_191215,4,100,309.75,90.25,105.25,2,100.00
20260922_191215,4,100,309.75,90.25,105.25,3,100.00
20260922_191215,4,100,309.75,90.25,105.25,4,100.00
20260922_191215,4,100,309.75,90.25,105.25,5,100.00
20260922_191215,5,100,308.29,91.71,106.71,1,99.00
20260922_191215,5,100,308.29,91.71,106.71,2,99.00
20260922_191215,5,100,308.29,91.71,106.71,3,99.00
20260922_191215,5,100,308.29,91.71,106.71,4,99.00
20260922_191215,5,100,308.29,91.71,106.71,5,99.00
20260922_192901,1,150,261.38,138.62,154.62,1,145.00
20260922_192901,1,150,261.38,138.62,154.62,2,145.00
20260922_192901,1,150,261.38,138.62,154.62,3,145.00
20260922_192901,1,150,261.38,138.62,154.62,4,145.00
20260922_192901,1,150,261.38,138.62,154.62,5,145.00
20260922_192901,2,150,258.33,141.67,157.67,1,146.00
20260922_192901,2,150,258.33,141.67,157.67,2,146.00
20260922_192901,2,150,258.33,141.67,157.67,3,146.00
20260922_192901,2,150,258.33,141.67,157.67,4,146.00
20260922_192901,2,150,258.33,141.67,157.67,5,146.00
20260922_192901,3,150,260.95,139.05,155.05,1,142.00
20260922_192901,3,150,260.95,139.05,155.05,2,142.00
20260922_192901,3,150,260.95,139.05,155.05,3,142.00
20260922_192901,3,150,260.95,139.05,155.05,4,142.00
20260922_192901,3,150,260.95,139.05,155.05,5,142.00
20260922_192901,4,150,261.25,138.75,154.75,1,142.00
20260922_192901,4,150,261.25,138.75,154.75,2,142.00
20260922_192901,4,150,261.25,138.75,154.75,3,142.00
20260922_192901,4,150,261.25,138.75,154.75,4,142.00
20260922_192901,4,150,261.25,138.75,154.75,5,142.00
20260922_192901,5,150,263.49,136.51,152.51,1,141.00
20260922_192901,5,150,263.49,136.51,152.51,2,141.00
20260922_192901,5,150,263.49,136.51,152.51,3,141.00
20260922_192901,5,150,263.49,136.51,152.51,4,141.00
20260922_192901,5,150,263.49,136.51,152.51,5,141.00
