SessionID,Iteration,TargetLevel_mm,ToFAvg_mm,DistFromZero_mm,CalculatedFluid_mm,PhysicalIndex,PhysicalMeasure_mm
20260922_195145,1,250,162.25,237.75,251.75,1,237
20260922_195145,1,250,162.25,237.75,251.75,2,237
20260922_195145,1,250,162.25,237.75,251.75,3,237
20260922_195145,1,250,162.25,237.75,251.75,4,237
20260922_195145,1,250,162.25,237.75,251.75,5,237
20260922_195145,2,250,159.88,240.12,254.12,1,241
20260922_195145,2,250,159.88,240.12,254.12,2,241
20260922_195145,2,250,159.88,240.12,254.12,3,241
20260922_195145,2,250,159.88,240.12,254.12,4,241
20260922_195145,2,250,159.88,240.12,254.12,5,241
20260922_195145,3,250,160.11,239.89,253.89,1,240
20260922_195145,3,250,160.11,239.89,253.89,2,240
20260922_195145,3,250,160.11,239.89,253.89,3,240
20260922_195145,3,250,160.11,239.89,253.89,4,240
20260922_195145,3,250,160.11,239.89,253.89,5,240
20260922_195145,4,250,158.41,241.59,255.59,1,241
20260922_195145,4,250,158.41,241.59,255.59,2,241
20260922_195145,4,250,158.41,241.59,255.59,3,241
20260922_195145,4,250,158.41,241.59,255.59,4,241
20260922_195145,4,250,158.41,241.59,255.59,5,241
20260922_195145,5,250,159.94,240.06,254.06,1,241
20260922_195145,5,250,159.94,240.06,254.06,2,241
20260922_195145,5,250,159.94,240.06,254.06,3,241
20260922_195145,5,250,159.94,240.06,254.06,4,241
20260922_195145,5,250,159.94,240.06,254.06,5,241
