target_rpm,pi_steady_state_error_rpm,open_loop_interpolated_error_rpm,improvement_percent
0.0,nan,nan,nan
250.0,4.1835534249999995,51.876134185231535,91.93549501961347
500.0,5.512915469999999,39.51382262202753,86.04813428775493
750.0,4.801576980000002,32.615361193750005,85.2781732157542
1000.0,7.38081398,24.901336918750076,70.35976821612965
1250.0,10.817818844999998,18.25492197125004,40.740262478047576
1500.0,15.150548754999997,23.63310738375003,35.89269278479471
1750.0,17.075619385000003,36.43842183729657,53.13842223671102
2000.0,18.226222330000006,6.179730826249852,-194.93553752503047
2250.0,17.832777075000003,5.800997453633954,-207.40880714968952
2500.0,69.05073987,78.23288782978716,11.73694109281117
