condition,mean_rms_us,mean_p95_abs_us,mean_p99_abs_us,mean_cv
PI FIFO,4.708897485809389,10.895323413078078,15.48272555210746,0.0004708897232957457
PI no FIFO,7.771456425532441,18.315431681647436,33.26301382270434,0.0007771455256261969
