target_rpm,pi_steady_state_error_rpm,open_loop_interpolated_error_rpm,improvement_percent,pi_rms_period_us,pi_p95_abs_jitter_us,pi_p99_abs_jitter_us,pi_cv_period,open_rms_period_us,open_p95_abs_jitter_us,open_p99_abs_jitter_us,open_cv_period
0.0,nan,nan,nan,9.532989739433331,15.249006265664315,31.113424110276785,0.0009533031678799641,11.990258451558274,15.642418421052927,24.806089172931852,0.0011990314409363943
250.0,2.820418985,50.094011878749996,94.36974824091413,5.03555737696373,11.19861749999935,19.67399114999932,0.0005035556277953573,3.9884123521490213,8.616258499999272,14.764585000000348,0.0003988406543034891
500.0,3.713089010000001,37.487723332500025,90.09518669067604,4.159943663092611,10.004193241552624,13.513630488109774,0.0004159938917950772,5.065216876511163,10.902223749998381,19.52604525000155,0.0005065222378608972
750.0,5.303743645000002,30.72768525156448,82.73952755770966,4.259887180440386,8.342480475594305,16.82295657071268,0.0004259880588021929,6.27417457165789,10.870007509386774,28.68415279098878,0.000627417456694637
1000.0,6.3642145249999995,21.83844146874992,70.85774397359363,4.6527763595791924,10.0055528160215,16.304376020025696,0.00046527694660266337,4.708776033140145,9.21566500000026,19.17761500000117,0.0004708782194581647
1250.0,7.2218326249999985,18.370850703749966,60.688632543696876,5.222134257672442,11.442710012516542,15.841850387984191,0.0005222135829541863,4.703128120493313,9.414951500000914,16.104735000000485,0.00047031369788518127
1500.0,10.252749875,27.972863619524333,63.34751416782426,4.905096707042136,10.844273750000768,15.713474724999257,0.0004905094217093685,4.987808740536069,10.242691489360725,18.44056382978568,0.0004987811138930362
1750.0,11.372012095000004,6.636672156249915,-71.35112036972784,4.587137203305796,9.06057959949848,14.520555519397675,0.0004587141606732094,4.550098916601815,10.03676625000097,16.262431074999014,0.0004550098977459389
2000.0,13.201882985000003,6.324332263749966,-108.7474603551592,5.644273768383378,11.87430624999979,19.47105987500093,0.0005644269080112374,4.748435224250214,10.303509999999822,14.410161199999832,0.00047484335907890584
2250.0,14.15852957499999,20.731344280350186,31.704720236497707,4.6036739090990615,10.276651939923614,14.86010986232691,0.0004603664447675546,4.968348481659248,10.266029411763334,20.29832470588422,0.0004968346202065107
2500.0,55.110177435000004,52.94371339048803,-4.092013774200446,4.753800074359258,10.099269336671014,20.210983204005778,0.0004753792308245241,3.7246101483487513,7.829626408009785,14.22192831038802,0.00037246058993146123
