condition,mean_rms_us,mean_p95_abs_us,mean_p99_abs_us,mean_cv
Open loop FIFO,5.428115265173264,10.303649839961198,18.79060284863463,0.0005428121170904197
PI FIFO,5.214297294488302,10.763421926131118,18.004219264803545,0.0005214297674377578
